Company name,Country,City,Province,Site address,Company website,BAP Cert,ASC Cert,FOS Cert,FIP Cert,MarinTrust Cert
Pesquera Herco SA,Ecuador,,,,,,,,,
CV Bumi Indo,Indonesia,,,,,,,,,
Pabrik Tepung Ikan,Indonesia,,,,,,,,,
PT Bumi Indo Jaya,Indonesia,,,,,,,,,
PT Indocitra Jaya Sumadera,Indonesia,,,,,,,,,
IQI BV,Netherlands,,,,,,,,,
Almeve SARL,Morocco,,,,,,,,,
Complexe Industriel des Produits de la Mer (CIPMER) S.A,Morocco,,,,,,,,,
Dinay Bluewave,Morocco,,,,,,,,,
Malufra 2,Morocco,,,,,,,,,
Olvea Atlantic 2,Morocco,,,,,,,,,
Beltran Peru E.I.R.L.,Peru,,,,,,,,,
S.P.P. (Sous Produits du Poisson),Morocco,,,,,,,,,
Pesquera Miguel Angel S.A.C.,Peru,,,,,,,,,
Tan Tan Sardine,Morocco,,,,,,,,,
Tantasar,Morocco,,,,,,,,,
Tadel SA,Ecuador,,,,,,,,,
Pesquera 2020 S.A.C.,Peru,,,,,,,,,
ECUAFEED S.A.,Ecuador,,,,,,,,,
HARINA DE CAMARON HARCAM S.A.S.,Ecuador,,,,,,,,,
HARINA DE PESCADO DE EXPORTACION HARDEPEX CIA. LTDA.,Ecuador,,,,,,,,,
INDUSTRIA HARINERA DEL PACIFICO S.A. INHARIPAC S.A.,Ecuador,,,,,,,,,
Atlantic Fish S.R.L.,Peru,,,,,,,,,
C & H Fish S.A.C.,Peru,,,,,,,,,
Cantarana S.A.C,Peru,,,,,,,,,
The Waterbase,India,,,,,,,,,
Compania Pesquera del Pacifico Centro S.A.,Peru,,,,,,,,,
Compania Pesquera del Pacifico Centro S.A.,Peru,,,,,,,,,
Al Faizal Dry Fish,India,,,,,,,,,
Compania Pesquera del Pacifico Centro S.A.,Peru,,,,,,,,,
Conservera San Lucas S.A.C.,Peru,,,,,,,,,
Corporacion Pesquera Coishco S.A.,Peru,,,,,,,,,
Ambitious Fishmeal Product,India,,,,,,,,,
Anfal Marine Products,India,,,,,,,,,
Arbee Biomarine Extracts Private Limited,India,,,,,,,,,
Bawa Fishmill & Oil Co.,India,,,,,,,,,
Dexim Srl,Peru,,,,,,,,,
Industria Atunera S.A.C.,Peru,,,,,,,,,
Econort Group S.A.C.,Peru,,,,,,,,,
Blueline foods India Pvt. Ltd Unit - I,India,,,,,,,,,
Inversiones Oslo S.A.C.,Peru,,,,,,,,,
Pacific Freezing Company S.A.C.,Peru,,,,,,,,,
Global Marine Exports,India,,,,,,,,,
CPD FARINE,Western Sahara,,,,,,,,,
Hind Aquatic,India,,,,,,,,,
"New Hope Liuhe Co., Ltd.",China,,,,,,,,,
HKA Bawa & Sons,India,,,,,,,,,
Indo Fish Meal & Oil Company Private Limited,India,,,,,,,,,
J.M. Sea Foods,India,,,,,,,,,
Jaimar Enterprises,India,,,,,,,,,
Janatha Fish Meal and Oil Products,India,,,,,,,,,
Can Kardeşler Su Ürünleri San. Tic. A.Ş. Yem İşletmesi,Turkey,,,,,,,,,
Jenefa India,India,,,,,,,,,
Marina De Guerra Del Peru,Peru,,,,,,,,,
LAAYOUNE PROTEINES S.A.R.L,Western Sahara,,,,,,,,,
Can.Kardeşler Su Ürün.San.Ve Tic.A.Ş. Bal.Un.Fab.,Turkey,,,,,,,,,
"Dalyan Su Urunleri ve Gida San. Nak. Tic. Ltd. Sti. (KOBYALAR
GROUP)",Turkey,,,,,,,,,
Dardanel Önentaş Gıda Sanayi Anonim Şirketi Balık Unu Fabrikası,Turkey,,,,,,,,,
Ege İz Yem,Turkey,,,,,,,,,
Sepomer (alt name: Sepomer Sahara II),Western Sahara,,,,,,,,,
Min Zar Ni Co. Ltd.,Myanmar,,,,,,,,,
King Fish Products,India,,,,,,,,,
Min Zar Ni Co. Ltd.,Myanmar,,,,,,,,,
M/s Blueline Foods (India) Pvt. Ltd. Unit-II,India,,,,,,,,,
Min Zar Ni Co. Ltd.,Myanmar,,,,,,,,,
Mowi Markets Norway AS,Norway,,,,,,,,,
Mangalore Marine Products,India,,,,,,,,,
Musselfeed SE,Sweden,,,,,,,,,
[OLD NAME: SOMATRAPS] Sté Marocaine de Traitement de Poisson Sud (Somatraps)  S.A.R.L.,Western Sahara,,,,,,,,,
MM Ashraf LLP - Manufacturer of Fish Meal and Fish Oil,India,,,,,,,,,
Pesquera Exalmar S.A.,Peru,,,,,,,,,
Mukka Proteins Limited,India,,,,,,,,,
[OLD NAME: SOTRAGEL] Ste de Traitement et de Congelation de Poissons (SOTRAGEL),Western Sahara,,,,,,,,,
Pesquera Exalmar S.A.,Peru,,,,,,,,,
Laayoune Elevage,Western Sahara,,,,,,,,,
Atlantic Tank Terminal,Western Sahara,,,,,,,,,
Afropesca,Western Sahara,,,,,,,,,
Protein and Oil Industry Sarl,Western Sahara,,,,,,,,,
BLT Berg LipidTech AS,Norway,,,,,,,,,
GC Rieber VivoMega AS,Norway,,,,,,,,,
Epax Norway AS,Norway,,,,,,,,,
Nutrishell AS,Norway,,,,,,,,,
Pelagia Protein AS,Norway,,,,,,,,,
Cervonic Ltd.,Mauritius,,,,,,,,,
SeaGarden AS,Norway,,,,,,,,,
PELAGIA HORDAFOR SALTHELLA,Norway,,,,,,,,,
Mukka Proteins Limited,India,,,,,,,,,
NatNov Bioscience Pvt. Ltd.,India,,,,,,,,,
NPM Aquatic Fish Links Private Limited,India,,,,,,,,,
NPM Fish Meal and Oil Products,India,,,,,,,,,
ECB Company SRL,Italy,,,,,,,,,
Bioceval GmbH & Co KG,Denmark,,,,,,,,,
Generale Conserve S.p.A.,Italy,,,,,,,,,
Om Sai Aqua,India,,,,,,,,,
Kauluan Sdn Bhd,Malaysia,,,,,,,,,
